Cluster,Symbol,Name,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Average_Return,Symbol_sim_return,Return,Std Dev
67,QQEW.O,First Trust NASDAQ-100 Equal Weighted Index Fund,5,120,14,29,74,1.0,10.0,0.0,0.0,16.45,19.56
67,JIRE.K,JPMorgan International Research Enhanced Eqty ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.59,15.82
67,SMOT.K,VanEck Morningstar SMID Moat ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.84,18.14
67,EFIV.K,SPDR S And P 500 ESG ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,17.98,16.94
67,ESGA.K,American Century Sustainable Equity ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.13,17.14
67,PWB,Invesco Large Cap Growth ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.98,18.81
67,XVV,iShares ESG Screened S&P 500 ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,17.47,17.23
67,EDEN.K,Ishares Msci Denmark ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,15.38,18.49
67,RTH.O,VanEck Retail ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,16.19,16.57
67,DTCR.O,Global X Data Center & Digital Infrastructure,5,120,14,29,69,1.0,10.0,0.0,0.0,15.56,16.63
67,BKMC.K,BNY Mellon US Mid Cap Core Equity ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,16.9,19.13
67,SEIM.K,SEI Enhanced US Large Cap Momentum Factor ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,16.72,17.18
67,ACVF.K,American Conservative Values ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,17.27,15.92
67,SEIQ.K,SEI Enhanced US Large Cap Quality Factor ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,16.43,15.26
67,CLOD.O,Themes Cloud Computing ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,18.5,18.42
67,UDIV.K,Franklin US Core Dividend Tilt Index ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,16.59,15.83
67,EMDM.K,First Trust Bloomberg Emerging Mkt Democracies ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,16.03,15.23
67,DEMZ.O,Democratic Large Cap Core ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,17.15,17.68
67,ADPV.K,Adaptiv Select ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,15.74,17.08
67,AAPY.K,Kurv Yield Premium Strategy Apple AAPL ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,16.66,15.88
67,SYNB.K,Putnam BioRevolution ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,16.75,15.81
67,AWEG.K,Alger Weatherbie Enduring Growth ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,17.34,17.46
67,MNTL.O,Tema Neuroscience and Mental Health ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,15.98,16.88
67,KOKU.K,Xtrackers MSCI Kokusai Equity ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,18.04,16.83
67,PCCE.K,Polen Capital China Growth ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,16.42,18.73
67,IWF,iShares Russell 1000 Growth,5,120,14,29,69,1.0,10.0,0.0,0.0,17.85,18.78
67,SPYG.K,SPDR Portfolio S&P 500 Growth ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,16.79,18.36
67,VONG.O,Vanguard Russell 1000 Growth Index Fund;ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,17.63,18.69
67,VOOG.K,Vanguard S&P 500 Growth Index Fund;ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,16.71,18.41
67,IUSG.O,iShares Core S&P US Growth ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,16.5,18.47
67,CGDV.K,Capital Group Dividend Value ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,15.8,15.9
67,IHI,iShares US Medical Devices ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,15.92,19.07
67,PPA,Invesco Aerospace & Defense ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,16.09,19.3
67,QQEW.O,First Trust NASDAQ-100 Equal Weighted Index Fund,5,120,14,29,69,1.0,10.0,0.0,0.0,16.45,19.56
67,JIRE.K,JPMorgan International Research Enhanced Eqty ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,16.59,15.82
67,SMOT.K,VanEck Morningstar SMID Moat ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,16.84,18.14
67,EFIV.K,SPDR S And P 500 ESG ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,17.98,16.94
67,ESGA.K,American Century Sustainable Equity ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,16.13,17.14
67,PWB,Invesco Large Cap Growth ETF,5,120,14,29,69,1.0,10.0,0.0,0.0,16.98,18.81
67,DTCR.O,Global X Data Center & Digital Infrastructure,5,120,14,29,74,1.0,10.0,0.0,0.0,15.56,16.63
67,RTH.O,VanEck Retail ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.19,16.57
67,EDEN.K,Ishares Msci Denmark ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,15.38,18.49
67,RTH.O,VanEck Retail ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.19,16.57
67,XVV,iShares ESG Screened S&P 500 ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,17.47,17.23
67,CAPE.K,DoubleLine Shiller CAPE US Equities ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,17.82,16.92
67,BKMC.K,BNY Mellon US Mid Cap Core Equity ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.9,19.13
67,SEIM.K,SEI Enhanced US Large Cap Momentum Factor ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.72,17.18
67,ACVF.K,American Conservative Values ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,17.27,15.92
67,SEIQ.K,SEI Enhanced US Large Cap Quality Factor ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.43,15.26
67,CLOD.O,Themes Cloud Computing ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,18.5,18.42
67,UDIV.K,Franklin US Core Dividend Tilt Index ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.59,15.83
67,EMDM.K,First Trust Bloomberg Emerging Mkt Democracies ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.03,15.23
67,DEMZ.O,Democratic Large Cap Core ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,17.15,17.68
67,ADPV.K,Adaptiv Select ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,15.74,17.08
67,AAPY.K,Kurv Yield Premium Strategy Apple AAPL ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.66,15.88
67,SYNB.K,Putnam BioRevolution ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.75,15.81
67,AWEG.K,Alger Weatherbie Enduring Growth ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,17.34,17.46
67,MNTL.O,Tema Neuroscience and Mental Health ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,15.98,16.88
67,KOKU.K,Xtrackers MSCI Kokusai Equity ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,18.04,16.83
67,PCCE.K,Polen Capital China Growth ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.42,18.73
67,IWF,iShares Russell 1000 Growth,5,120,14,34,54,1.0,10.0,0.0,0.0,17.85,18.78
67,SPYG.K,SPDR Portfolio S&P 500 Growth ETF,5,120,14,34,54,1.0,10.0,0.0,0.0,16.79,18.36
67,VONG.O,Vanguard Russell 1000 Growth Index Fund;ETF,5,120,14,34,54,1.0,10.0,0.0,0.0,17.63,18.69
67,VOOG.K,Vanguard S&P 500 Growth Index Fund;ETF,5,120,14,34,54,1.0,10.0,0.0,0.0,16.71,18.41
67,IUSG.O,iShares Core S&P US Growth ETF,5,120,14,34,54,1.0,10.0,0.0,0.0,16.5,18.47
67,CGDV.K,Capital Group Dividend Value ETF,5,120,14,34,54,1.0,10.0,0.0,0.0,15.8,15.9
67,IHI,iShares US Medical Devices ETF,5,120,14,34,54,1.0,10.0,0.0,0.0,15.92,19.07
67,PPA,Invesco Aerospace & Defense ETF,5,120,14,34,54,1.0,10.0,0.0,0.0,16.09,19.3
67,QQEW.O,First Trust NASDAQ-100 Equal Weighted Index Fund,5,120,14,34,54,1.0,10.0,0.0,0.0,16.45,19.56
67,JIRE.K,JPMorgan International Research Enhanced Eqty ETF,5,120,14,34,54,1.0,10.0,0.0,0.0,16.59,15.82
67,SMOT.K,VanEck Morningstar SMID Moat ETF,5,120,14,34,54,1.0,10.0,0.0,0.0,16.84,18.14
67,EFIV.K,SPDR S And P 500 ESG ETF,5,120,14,34,54,1.0,10.0,0.0,0.0,17.98,16.94
67,EDEN.K,Ishares Msci Denmark ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,15.38,18.49
67,DTCR.O,Global X Data Center & Digital Infrastructure,5,120,14,29,79,1.0,10.0,0.0,0.0,15.56,16.63
67,XVV,iShares ESG Screened S&P 500 ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,17.47,17.23
67,PWB,Invesco Large Cap Growth ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.98,18.81
67,CAPE.K,DoubleLine Shiller CAPE US Equities ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,17.82,16.92
67,BKMC.K,BNY Mellon US Mid Cap Core Equity ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.9,19.13
67,SEIM.K,SEI Enhanced US Large Cap Momentum Factor ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.72,17.18
67,ACVF.K,American Conservative Values ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,17.27,15.92
67,SEIQ.K,SEI Enhanced US Large Cap Quality Factor ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.43,15.26
67,CLOD.O,Themes Cloud Computing ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,18.5,18.42
67,UDIV.K,Franklin US Core Dividend Tilt Index ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.59,15.83
67,EMDM.K,First Trust Bloomberg Emerging Mkt Democracies ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.03,15.23
67,DEMZ.O,Democratic Large Cap Core ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,17.15,17.68
67,ADPV.K,Adaptiv Select ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,15.74,17.08
67,AAPY.K,Kurv Yield Premium Strategy Apple AAPL ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.66,15.88
67,SYNB.K,Putnam BioRevolution ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.75,15.81
67,AWEG.K,Alger Weatherbie Enduring Growth ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,17.34,17.46
67,MNTL.O,Tema Neuroscience and Mental Health ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,15.98,16.88
67,JIRE.K,JPMorgan International Research Enhanced Eqty ETF,5,120,14,34,74,1.0,10.0,0.0,0.0,16.59,15.82
67,PCCE.K,Polen Capital China Growth ETF,5,120,14,29,74,1.0,10.0,0.0,0.0,16.42,18.73
67,IWF,iShares Russell 1000 Growth,5,120,14,29,79,1.0,10.0,0.0,0.0,17.85,18.78
67,SPYG.K,SPDR Portfolio S&P 500 Growth ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.79,18.36
67,VONG.O,Vanguard Russell 1000 Growth Index Fund;ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,17.63,18.69
67,VOOG.K,Vanguard S&P 500 Growth Index Fund;ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.71,18.41
67,IUSG.O,iShares Core S&P US Growth ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.5,18.47
67,CGDV.K,Capital Group Dividend Value ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,15.8,15.9
67,IHI,iShares US Medical Devices ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,15.92,19.07
67,PPA,Invesco Aerospace & Defense ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.09,19.3
67,QQEW.O,First Trust NASDAQ-100 Equal Weighted Index Fund,5,120,14,29,79,1.0,10.0,0.0,0.0,16.45,19.56
67,JIRE.K,JPMorgan International Research Enhanced Eqty ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.59,15.82
67,SMOT.K,VanEck Morningstar SMID Moat ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.84,18.14
67,EFIV.K,SPDR S And P 500 ESG ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,17.98,16.94
67,ESGA.K,American Century Sustainable Equity ETF,5,120,14,29,79,1.0,10.0,0.0,0.0,16.13,17.14
67,QQEW.O,First Trust NASDAQ-100 Equal Weighted Index Fund,5,120,14,34,74,1.0,10.0,0.0,0.0,16.45,19.56
67,JIRE.K,JPMorgan International Research Enhanced Eqty ETF,5,120,14,39,79,1.0,10.0,0.0,0.0,16.59,15.82
67,SMOT.K,VanEck Morningstar SMID Moat ETF,5,120,14,34,74,1.0,10.0,0.0,0.0,16.84,18.14
67,AAPY.K,Kurv Yield Premium Strategy Apple AAPL ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.66,15.88
67,DEMZ.O,Democratic Large Cap Core ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,17.15,17.68
67,EMDM.K,First Trust Bloomberg Emerging Mkt Democracies ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.03,15.23
67,UDIV.K,Franklin US Core Dividend Tilt Index ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.59,15.83
67,CLOD.O,Themes Cloud Computing ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,18.5,18.42
67,SEIQ.K,SEI Enhanced US Large Cap Quality Factor ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.43,15.26
67,ACVF.K,American Conservative Values ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,17.27,15.92
67,SEIM.K,SEI Enhanced US Large Cap Momentum Factor ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.72,17.18
67,BKMC.K,BNY Mellon US Mid Cap Core Equity ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.9,19.13
67,CAPE.K,DoubleLine Shiller CAPE US Equities ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,17.82,16.92
67,XVV,iShares ESG Screened S&P 500 ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,17.47,17.23
67,EDEN.K,Ishares Msci Denmark ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,15.38,18.49
67,RTH.O,VanEck Retail ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.19,16.57
67,DTCR.O,Global X Data Center & Digital Infrastructure,5,120,14,39,59,1.0,10.0,0.0,0.0,15.56,16.63
67,PWB,Invesco Large Cap Growth ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.98,18.81
67,ESGA.K,American Century Sustainable Equity ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.13,17.14
67,EFIV.K,SPDR S And P 500 ESG ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,17.98,16.94
67,SMOT.K,VanEck Morningstar SMID Moat ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.84,18.14
67,JIRE.K,JPMorgan International Research Enhanced Eqty ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.59,15.82
67,QQEW.O,First Trust NASDAQ-100 Equal Weighted Index Fund,5,120,14,39,59,1.0,10.0,0.0,0.0,16.45,19.56
67,PPA,Invesco Aerospace & Defense ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.09,19.3
67,IHI,iShares US Medical Devices ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,15.92,19.07
67,CGDV.K,Capital Group Dividend Value ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,15.8,15.9
67,IUSG.O,iShares Core S&P US Growth ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.5,18.47
67,VOOG.K,Vanguard S&P 500 Growth Index Fund;ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.71,18.41
67,VONG.O,Vanguard Russell 1000 Growth Index Fund;ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,17.63,18.69
67,SPYG.K,SPDR Portfolio S&P 500 Growth ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.79,18.36
67,IWF,iShares Russell 1000 Growth,5,120,14,39,59,1.0,10.0,0.0,0.0,17.85,18.78
67,PCCE.K,Polen Capital China Growth ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.42,18.73
67,KOKU.K,Xtrackers MSCI Kokusai Equity ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,18.04,16.83
67,ADPV.K,Adaptiv Select ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,15.74,17.08
67,SYNB.K,Putnam BioRevolution ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.75,15.81
67,AWEG.K,Alger Weatherbie Enduring Growth ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,17.34,17.46
67,AWEG.K,Alger Weatherbie Enduring Growth ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,17.34,17.46
67,EMDM.K,First Trust Bloomberg Emerging Mkt Democracies ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.03,15.23
67,UDIV.K,Franklin US Core Dividend Tilt Index ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.59,15.83
67,CLOD.O,Themes Cloud Computing ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,18.5,18.42
67,SEIQ.K,SEI Enhanced US Large Cap Quality Factor ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.43,15.26
67,ACVF.K,American Conservative Values ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,17.27,15.92
67,SEIM.K,SEI Enhanced US Large Cap Momentum Factor ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.72,17.18
67,BKMC.K,BNY Mellon US Mid Cap Core Equity ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.9,19.13
67,CAPE.K,DoubleLine Shiller CAPE US Equities ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,17.82,16.92
67,XVV,iShares ESG Screened S&P 500 ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,17.47,17.23
67,EDEN.K,Ishares Msci Denmark ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,15.38,18.49
67,RTH.O,VanEck Retail ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.19,16.57
67,DTCR.O,Global X Data Center & Digital Infrastructure,5,120,14,39,64,1.0,10.0,0.0,0.0,15.56,16.63
67,PWB,Invesco Large Cap Growth ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.98,18.81
67,ESGA.K,American Century Sustainable Equity ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.13,17.14
67,EFIV.K,SPDR S And P 500 ESG ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,17.98,16.94
67,SMOT.K,VanEck Morningstar SMID Moat ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.84,18.14
67,JIRE.K,JPMorgan International Research Enhanced Eqty ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.59,15.82
67,QQEW.O,First Trust NASDAQ-100 Equal Weighted Index Fund,5,120,14,39,64,1.0,10.0,0.0,0.0,16.45,19.56
67,PPA,Invesco Aerospace & Defense ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.09,19.3
67,IHI,iShares US Medical Devices ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,15.92,19.07
67,CGDV.K,Capital Group Dividend Value ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,15.8,15.9
67,IUSG.O,iShares Core S&P US Growth ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.5,18.47
67,VOOG.K,Vanguard S&P 500 Growth Index Fund;ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.71,18.41
67,VONG.O,Vanguard Russell 1000 Growth Index Fund;ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,17.63,18.69
67,SPYG.K,SPDR Portfolio S&P 500 Growth ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,16.79,18.36
67,IWF,iShares Russell 1000 Growth,5,120,14,39,64,1.0,10.0,0.0,0.0,17.85,18.78
67,PCCE.K,Polen Capital China Growth ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,16.42,18.73
67,KOKU.K,Xtrackers MSCI Kokusai Equity ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,18.04,16.83
67,MNTL.O,Tema Neuroscience and Mental Health ETF,5,120,14,39,59,1.0,10.0,0.0,0.0,15.98,16.88
67,MNTL.O,Tema Neuroscience and Mental Health ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,15.98,16.88
67,SYNB.K,Putnam BioRevolution ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.75,15.81
67,ADPV.K,Adaptiv Select ETF,5,120,14,39,64,1.0,10.0,0.0,0.0,15.74,17.08
67,AWEG.K,Alger Weatherbie Enduring Growth ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,17.34,17.46
67,AAPY.K,Kurv Yield Premium Strategy Apple AAPL ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.66,15.88
67,ADPV.K,Adaptiv Select ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,15.74,17.08
67,DEMZ.O,Democratic Large Cap Core ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,17.15,17.68
67,EMDM.K,First Trust Bloomberg Emerging Mkt Democracies ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.03,15.23
67,UDIV.K,Franklin US Core Dividend Tilt Index ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.59,15.83
67,CLOD.O,Themes Cloud Computing ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,18.5,18.42
67,SEIQ.K,SEI Enhanced US Large Cap Quality Factor ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.43,15.26
67,ACVF.K,American Conservative Values ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,17.27,15.92
67,SEIM.K,SEI Enhanced US Large Cap Momentum Factor ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.72,17.18
67,BKMC.K,BNY Mellon US Mid Cap Core Equity ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.9,19.13
67,CAPE.K,DoubleLine Shiller CAPE US Equities ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,17.82,16.92
67,XVV,iShares ESG Screened S&P 500 ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,17.47,17.23
67,EDEN.K,Ishares Msci Denmark ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,15.38,18.49
67,RTH.O,VanEck Retail ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.19,16.57
67,DTCR.O,Global X Data Center & Digital Infrastructure,5,120,14,34,79,1.0,10.0,0.0,0.0,15.56,16.63
67,PWB,Invesco Large Cap Growth ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.98,18.81
67,ESGA.K,American Century Sustainable Equity ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.13,17.14
67,EFIV.K,SPDR S And P 500 ESG ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,17.98,16.94
67,SMOT.K,VanEck Morningstar SMID Moat ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.84,18.14
67,JIRE.K,JPMorgan International Research Enhanced Eqty ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.59,15.82
67,QQEW.O,First Trust NASDAQ-100 Equal Weighted Index Fund,5,120,14,34,79,1.0,10.0,0.0,0.0,16.45,19.56
67,PPA,Invesco Aerospace & Defense ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.09,19.3
67,IHI,iShares US Medical Devices ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,15.92,19.07
67,CGDV.K,Capital Group Dividend Value ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,15.8,15.9
67,IUSG.O,iShares Core S&P US Growth ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.5,18.47
67,VOOG.K,Vanguard S&P 500 Growth Index Fund;ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.71,18.41
67,VONG.O,Vanguard Russell 1000 Growth Index Fund;ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,17.63,18.69
67,SPYG.K,SPDR Portfolio S&P 500 Growth ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.79,18.36
67,XVV,iShares ESG Screened S&P 500 ETF,5,120,14,29,64,1.0,10.0,0.0,0.0,17.47,17.23
67,SYNB.K,Putnam BioRevolution ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,16.75,15.81
67,MNTL.O,Tema Neuroscience and Mental Health ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,15.98,16.88
67,AAPY.K,Kurv Yield Premium Strategy Apple AAPL ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.66,15.88
67,KOKU.K,Xtrackers MSCI Kokusai Equity ETF,5,120,14,34,79,1.0,10.0,0.0,0.0,18.04,16.83
67,ADPV.K,Adaptiv Select ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,15.74,17.08
67,DEMZ.O,Democratic Large Cap Core ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,17.15,17.68
67,EMDM.K,First Trust Bloomberg Emerging Mkt Democracies ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.03,15.23
67,UDIV.K,Franklin US Core Dividend Tilt Index ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.59,15.83
67,CLOD.O,Themes Cloud Computing ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,18.5,18.42
67,SEIQ.K,SEI Enhanced US Large Cap Quality Factor ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.43,15.26
67,ACVF.K,American Conservative Values ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,17.27,15.92
67,SEIM.K,SEI Enhanced US Large Cap Momentum Factor ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.72,17.18
67,BKMC.K,BNY Mellon US Mid Cap Core Equity ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.9,19.13
67,CAPE.K,DoubleLine Shiller CAPE US Equities ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,17.82,16.92
67,XVV,iShares ESG Screened S&P 500 ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,17.47,17.23
67,EDEN.K,Ishares Msci Denmark ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,15.38,18.49
67,RTH.O,VanEck Retail ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.19,16.57
67,DTCR.O,Global X Data Center & Digital Infrastructure,5,120,14,39,54,1.0,10.0,0.0,0.0,15.56,16.63
67,PWB,Invesco Large Cap Growth ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.98,18.81
67,ESGA.K,American Century Sustainable Equity ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.13,17.14
67,EFIV.K,SPDR S And P 500 ESG ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,17.98,16.94
67,SMOT.K,VanEck Morningstar SMID Moat ETF,5,120,14,39,54,1.0,10.0,0.0,0.0,16.84,18.14
